"","DET","A1","A2a","A2b","A3a","A3b","A4","NAA"
"1","Recruits Per Spawner (R/S)",1.66308537757159,1.72865945909954,1.72875952439407,1.06365827042777,0.746272392761748,1.69021299932793,0.533135280842736
"2","Geomean Spawners (NOR)",673.37143242503,751.979673145263,751.445640164986,96.630485759476,9.20759211114001,705.908779394574,1.40967750510948
"3","QET Threshold",0,0,0,1,1,0,1
"4","SAR",0.043883610457548,0.043883610457548,0.043883610457548,0.043883610457548,0.043883610457548,0.043883610457548,0.043883610457548
"5","Marine Survival",0.02471262068794,0.02471262068794,0.02471262068794,0.02471262068794,0.02471262068794,0.02471262068794,0.02471262068794
"6","DPS",0.966161330935876,0.972447201590572,0.972447201590572,0.815478090753756,0.681481124493696,0.972447201673338,0.468726428360197
"7","DPE",0.906064136491229,0.938388694488194,0.938388694488194,0.655939467360297,0.705602259011067,0.912127353672597,0.594614784683759
"8","DPS*DPE",0.875409797121069,0.912255486520665,0.912255665487331,0.53265003815763,0.483348380652782,0.886681850781163,0.281975032264658
