"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.70505964602649,0.959702852443423,0.562855882889454,0,1.72865945909954,3.55818561674112
"2","Geomean Spawners (NOR)",1158.67059446231,1261.22313719501,1.08850879898294,0,751.979673145263,4221.0030229706
"3","QET Threshold",0.34612,0.475734388952584,1.37447818372987,0,0,1
"4","SAR",0.0438922776862945,0.00219614958372207,0.0500349879178821,0.0395804472790998,0.043883610457548,0.0482014838544838
"5","First 5 Years Average Marine Survival",0.0252999505486919,0.011483904520672,0.453910156803279,0.0053535206917638,0.02471262068794,0.0491757068253425
"6","DPS",0.971500083318065,0.00486298625964788,0.00500564677569436,0.967385490419048,0.972447201590572,0.978334726644184
"7","DPE",0.938162419337894,0.0015672406487543,0.00167054298536108,0.938373887392319,0.938388694488194,0.93839
"8","DPE*DPS",0.911428385404034,0.005416360517416,0.00594271651416139,0.90778481928907,0.912255486520665,0.918059524135636
