"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.36519898141664,0.601486342751378,0.440585109525372,0.220787814086728,1.36386076266434,2.54919971850515
"2","Geomean Spawners (NOR)",1100.96304427017,1211.91401341736,1.10077628829107,0,704.581911447084,4087.33096594256
"3","QET Threshold",0.23679,0.42511445884965,1.79532268613392,0,0,1
"4","SAR",0.041950141505485,0.00209897482338038,0.0500349879178821,0.0378291000543609,0.0419418577824352,0.0460686748343739
"5","First 5 Years Average Marine Survival",0.0252999505486919,0.011483904520672,0.453910156803279,0.0053535206917638,0.02471262068794,0.0491757068253425
"6","DPS",0.98,6.30990394668994e-16,6.43867749662238e-16,0.98,0.98,0.980000000000001
"7","DPE",0.827008011262778,0.00185980118144652,0.00224883091350802,0.827286797926193,0.82729,0.8278
"8","DPE*DPS",0.810467851037523,0.00182260515781758,0.00224883091350801,0.810741061967669,0.8107442,0.811243999999999
