"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.0253074027125,0.575507092230001,0.561301996559734,0,1.04017634836987,2.13375707429419
"2","Geomean Spawners (NOR)",438.544161597198,555.615554850142,1.26695462738933,0,210.275127439836,1937.7559349206
"3","QET Threshold",0.46039,0.498431070696162,1.08262792566338,0,0,1
"4","SAR",0.0388427236161898,0.00194349520683369,0.0500349879178821,0.0350269444947786,0.0388350535022549,0.0426561804021981
"5","First 5 Years Average Marine Survival",0.0252999505486919,0.011483904520672,0.453910156803279,0.0053535206917638,0.02471262068794,0.0491757068253425
"6","DPS",0.837207721701843,0.0309528176220587,0.0369714908495338,0.809294283403158,0.834110065052985,0.915077744097066
"7","DPE",0.75763294336,0.000279246898323755,0.000368578083584028,0.7576,0.7576,0.7576
"8","DPE*DPS",0.634297159517024,0.0234793815006795,0.037016374972509,0.613121349106233,0.631921785284141,0.693262898927937
