"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.489267628500056,0.280928686342913,0.574182042666819,0,0.491441855003663,1.04253028883299
"2","Geomean Spawners (NOR)",11.8856888451326,24.3859376951795,2.05170588031724,0,2.62920956924292,79.6425946630909
"3","QET Threshold",1,0,0,1,1,1
"4","SAR",0.0388427236161898,0.00194349520683369,0.0500349879178821,0.0350269444947786,0.0388350535022549,0.0426561804021981
"5","First 5 Years Average Marine Survival",0.0252999505486919,0.011483904520672,0.453910156803279,0.0053535206917638,0.02471262068794,0.0491757068253425
"6","DPS",0.701380735542748,0.00452021229769122,0.00644473403477978,0.698566086060019,0.70181881906835,0.709285537813233
"7","DPE",0.388387334228239,0.000941437997921141,0.00242396678509577,0.387991059595195,0.388232187187643,0.392562216057002
"8","DPE*DPS",0.272407368639249,0.00187138078674581,0.00686978768633859,0.271445594686531,0.272352518009589,0.277196629139631
