"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.718634055200461,0.409514108080775,0.569850684249221,0,0.723586966409365,1.52019601050797
"2","Geomean Spawners (NOR)",94.5761874936567,146.176065042971,1.54559058592603,0,31.1050810898783,518.692930089679
"3","QET Threshold",0.84442,0.362458518125555,0.429239617874465,0,1,1
"4","SAR",0.0450575593947802,0.00225445443992708,0.0500349879178821,0.0406312556139432,0.0450486620626156,0.0494811692665498
"5","First 5 Years Average Marine Survival",0.0252999505486919,0.011483904520672,0.453910156803279,0.0053535206917638,0.02471262068794,0.0491757068253425
"6","DPS",0.683045329975079,0.0219300932011309,0.0321063511288936,0.677040247069242,0.684536274047115,0.7120691313618
"7","DPE",0.543472326715188,0.0211784049275255,0.0389686905597021,0.533237610204405,0.538432095503025,0.591718533248061
"8","DPE*DPS",0.371358865816366,0.0203510507368528,0.0548015749997368,0.364563771988569,0.369132903622049,0.412395263548386
