"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.539100785119624,0.320823796134246,0.59510912428565,0,0.533135280842736,1.19567669860375
"2","Geomean Spawners (NOR)",7.47458472721093,16.8660682065462,2.25645555199153,0,1.40967750510948,52.1168998091546
"3","QET Threshold",1,0,0,1,1,1
"4","SAR",0.0438922776862945,0.00219614958372207,0.0500349879178821,0.0395804472790998,0.043883610457548,0.0482014838544838
"5","First 5 Years Average Marine Survival",0.0252999505486919,0.011483904520672,0.453910156803279,0.0053535206917638,0.02471262068794,0.0491757068253425
"6","DPS",0.472756839524739,0.0196577226797631,0.041581043437732,0.465779319260271,0.468726428360197,0.519737389938944
"7","DPE",0.559267181800885,0.116445514429321,0.208210884204499,0.530723731129854,0.594614784683759,0.67074317924825
"8","DPE*DPS",0.265330884497301,0.058775331971207,0.221517114687057,0.241648122473057,0.281975032264658,0.326369955506802
