"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.920934762810609,0.184478768561729,0.200316869349917,0.623242403997253,0.899458695120482,1.34125726856464
"2","Geomean Spawners (NOR)",117.946568912577,42.6238434458894,0.361382648421782,52.4641406281575,112.135713146448,216.579009353627
"3","QET Threshold -100 (Mean not median)",1,0,0,1,1,1
"4","SAR",0.0460271775742329,0.00182674136418495,0.0396883202590203,0.0424406281795312,0.0460199682359522,0.0496115441458811
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.683049383678646,0.0219397224164882,0.0321202579794877,0.677040247069242,0.684536274047115,0.7120691313618
"7","DPE",0.543477419840042,0.0211770276172283,0.0389657911150405,0.533237610204405,0.538432095503025,0.591718533248061
"8","DPE*DPS",0.371364754125002,0.0203560081699752,0.0548140553024139,0.364563771988569,0.369132903622049,0.412395263548386
