"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.52172569933871,0.312496116352561,0.20535640325215,1.02529779059846,1.48374823281705,2.23600863278879
"2","Geomean Spawners (NOR)",459.971078318305,178.247664383593,0.387519287158841,187.04032230071,436.134590420478,874.557669170318
"3","QET Threshold -100 (Mean not median)",1,0,0,1,1,1
"4","SAR",0.04483681953352,0.00177949805304224,0.0396883202590203,0.0413430257266123,0.0448297966436431,0.0483284869696945
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.80979359559439,0.0166272175346437,0.0205326611930529,0.809323292795025,0.815478090753756,0.822970411738889
"7","DPE",0.647213025251626,0.0233543981240365,0.0360845613620904,0.646043855655874,0.655939467360297,0.664503188668428
"8","DPE*DPS",0.52422089414243,0.0237225051698895,0.0452528799118108,0.520393120860407,0.53265003815763,0.542174972125998
