"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.40104366832719,0.281163516269926,0.20068147954705,0.94823192006363,1.36911315893944,2.04108822108259
"2","Geomean Spawners (NOR)",902.165442570245,227.978021735759,0.252700902714979,527.496245995054,878.529149505094,1413.47729148158
"3","QET Threshold -100 (Mean not median)",1,0,0,1,1,1
"4","SAR",0.0396786013570974,0.00157477703809048,0.0396883202590203,0.0365867484306303,0.0396723864103037,0.0427685725395527
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.98,5.72831217405868e-16,5.84521650414151e-16,0.98,0.98,0.980000000000001
"7","DPE",0.7576328904,0.000279025460378745,0.000368285833303027,0.7576,0.7576,0.7576
"8","DPE*DPS",0.742480232592,0.000273444951171177,0.000368285833303037,0.742448,0.742448,0.742448000000001
