"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.734410577772186,0.145418069098309,0.198006501403385,0.501102657319222,0.717199677415483,1.06480533630029
"2","Geomean Spawners (NOR)",34.9936587319633,18.4160543914731,0.526268331429197,11.0863605691489,31.1595337328332,81.314269602389
"3","QET Threshold -100 (Mean not median)",1,0,0,1,1,1
"4","SAR",0.0396786013570974,0.00157477703809048,0.0396883202590203,0.0365867484306303,0.0396723864103037,0.0427685725395527
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.697925085350893,0.00497626956746522,0.00713009128331205,0.694026920788193,0.697450028503479,0.708841892013963
"7","DPE",0.387852144590189,0.00077948216258703,0.00200974049894875,0.387561342911754,0.387830476533153,0.388785463849507
"8","DPE*DPS",0.27069214196574,0.00206033229310867,0.0076113487378937,0.269244082283528,0.27047621000448,0.27554476561495
