"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.34672130566399,0.275934983698681,0.204893902352449,0.896524758096938,1.31592745387649,1.96582841796444
"2","Geomean Spawners (NOR)",1648.03992394178,387.581134293016,0.235177029793065,1009.66747760637,1608.02131393787,2517.40549869362
"3","QET Threshold -100 (Mean not median)",1,0,0,1,1,1
"4","SAR",0.0428528894656652,0.00170075920113771,0.0396883202590203,0.0395136883050807,0.0428461773231279,0.0461900583427169
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.965224284021399,0.00793813128651597,0.00822413134224458,0.958640218698911,0.9654148937569,0.979057787608424
"7","DPE",0.827008840287142,0.0018561372946102,0.00224439837180669,0.827286797926193,0.82729,0.8278
"8","DPE*DPS",0.798248233642529,0.00671621328241262,0.00841369012714944,0.792547493749697,0.798678087456146,0.809963672871048
