"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.749680867492396,0.166536373300197,0.222143021813061,0.481795852403095,0.729689021559394,1.12698436436757
"2","Geomean Spawners (NOR)",34.687653887113,17.5253209088446,0.505232235246546,11.0816146538164,31.2142648490236,77.9892214820972
"3","QET Threshold -100 (Mean not median)",1,0,0,1,1,1
"4","SAR",0.0460271775742329,0.00182674136418495,0.0396883202590203,0.0424406281795312,0.0460199682359522,0.0496115441458811
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.925931179948138,0.0342754740152171,0.03701730188753,0.902383661913443,0.938531337158014,0.96629784524004
"7","DPE",0.286658436167018,0.0712320137292214,0.248490903256442,0.235197327092717,0.291890388837335,0.405818042120251
"8","DPE*DPS",0.264103309830991,0.0606207287628156,0.229534150108187,0.224328584174615,0.278953972118439,0.34942032943465
