"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.10992564564914,0.872595992079219,0.786175178039858,0.216910664151493,0.86960984309245,3.41997687323618
"2","Geomean Spawners (NOR)",284.100408928383,452.902445321455,1.59416329962279,0.686622093924529,107.648498005142,1550.85315265909
"3","QET Threshold -116 (Mean not median)",0.82618,0.37895651951172,0.458685176973202,0,0.82618,1
"4","SAR",0.0421644268441768,0.0345802702567102,0.820129024509341,0.00814373421887096,0.0325019955782201,0.133019000495983
"5","Last 15 years Average Marine Survival",0.042243341488515,0.0227582572120406,0.538741880024525,0.0143507438689174,0.0371526690120305,0.0998864248267128
"6","First 5 Years Average Marine Survival",0.0420972950121003,0.0345309170421411,0.820264509446882,0.00812447876389038,0.0324928850046246,0.132633450352092
"7","DPS",0.774492597691732,0.0923405066049139,0.119227100272,0.670820393249937,0.829475738587031,0.846191972412263
"8","DPE",0.650256401303577,0.0324477740673628,0.0498999686928331,0.645479751937542,0.652906291359885,0.673915870383929
"9","DPE*DPS",0.504777875828724,0.0681399417547046,0.13498995304189,0.45,0.537610579617862,0.565758726101977
