"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.529658203045916,0.421026006035939,0.794901322427816,0.10283272022149,0.41337402713709,1.64156727710723
"2","Geomean Spawners (NOR)",18.7341652565091,56.1620116564516,2.99783902231451,0.0200820317969952,2.90712052029608,147.016601929712
"3","QET Threshold -116 (Mean not median)",0.99637,0.0601403298011632,0.0603594345485746,1,0.99637,1
"4","SAR",0.0421643710581782,0.0345804389242186,0.820134109827102,0.00814368638933993,0.0325018103990571,0.133019998897862
"5","Last 15 years Average Marine Survival",0.042243341488515,0.0227582572120406,0.538741880024525,0.0143507438689174,0.0371526690120305,0.0998864248267128
"6","First 5 Years Average Marine Survival",0.0420972950121003,0.0345309170421411,0.820264509446882,0.00812447876389038,0.0324928850046246,0.132633450352092
"7","DPS",0.760862887763483,0.0847378825620807,0.111370765909168,0.670820393249937,0.803703968126388,0.833828429412372
"8","DPE",0.435498552828881,0.150163252212808,0.344807695082768,0.31870282642509,0.362145087846927,0.670820393249937
"9","DPE*DPS",0.320928794065426,0.0807909234886989,0.251740962427412,0.26523241570156,0.289952168830517,0.45
