"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.61708834795829,1.23650418366677,0.76464850249398,0.329706910178261,1.2833604654867,4.86467881254841
"2","Geomean Spawners (NOR)",315.514631959448,346.071447876893,1.0968475399308,3.29847923249787,207.290233503052,1230.22944719813
"3","QET Threshold -116 (Mean not median)",0.588,0.492197544268788,0.837070653518347,0,0.588,1
"4","SAR",0.0421646586862986,0.0345807555195296,0.820136023792046,0.00814516778350762,0.0325011346695489,0.133023992505373
"5","Last 15 years Average Marine Survival",0.042243341488515,0.0227582572120406,0.538741880024525,0.0143507438689174,0.0371526690120305,0.0998864248267128
"6","First 5 Years Average Marine Survival",0.0420972950121003,0.0345309170421411,0.820264509446882,0.00812447876389038,0.0324928850046246,0.132633450352092
"7","DPS",0.854330389734321,0.145140086808937,0.16988753830245,0.670820393249937,0.937371072874644,0.978059591986534
"8","DPE",0.817394505008666,0.120147917218781,0.146988897628456,0.670820393249937,0.896975419616435,0.89698
"9","DPE*DPS",0.715666427522487,0.203929659018742,0.284950713315855,0.45,0.840653686009656,0.877299892820081
