"","SS","A1","A2a","A2b","A3a","A3b","A4","NAA"
"1","Recruits Per Spawner (R/S)",1.48826982694943,1.10400206351441,1.10224779765035,0.664303383801901,0.526736874601909,1.13774628994714,0.503195324236512
"2","Geomean Spawners (NOR)",570.378452359875,286.700660250481,285.584352680345,42.8218650127317,19.2373359183189,161.086530660576,8.86370792838222
"3","QET Threshold",0.650266666666667,0.824266666666667,0.824866666666667,0.9876,0.9962,0.8068,0.996066666666667
"4","SAR",0.0420134990579134,0.0420134990579134,0.0420134990579134,0.0420134990579134,0.0420134990579134,0.0420203183152469,0.0420203183152469
"5","Marine Survival",0.0421614623205773,0.0421614623205773,0.0421614623205773,0.0421614623205773,0.0421614623205773,0.0421614623205773,0.0421614623205773
"6","Initial Marine Surival",0.0421290168819225,0.0421290168819225,0.0421290168819225,0.0421290168819225,0.0421290168819225,0.0421290168819225,0.0421290168819225
"7","DPS",0.864420513158393,0.774490837134697,0.773070987910443,0.677255733068615,0.760883405762065,0.776922147644192,0.681777212086759
"8","DPE",0.769988496775246,0.650264523262349,0.649405095414206,0.523893588203735,0.435478948135844,0.722582132313517,0.469898648398505
"9","DPS*DPE",0.678956308172857,0.504783504434997,0.503167173108946,0.354044681040867,0.32092016407635,0.566909197717854,0.318471336403537
