"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.4963139430528,1.14883785102988,0.767778617825352,0.303137608153909,1.18486766758743,4.5221074608399
"2","Geomean Spawners (NOR)",567.6259071868,727.82017091145,1.28221802721899,3.96911597621624,310.041425486635,2550.10447724427
"3","QET Threshold -116 (Mean not median)",0.65326,0.475934488702359,0.728552932526649,0,0.65326,1
"4","SAR",0.0421642753118992,0.0345801302510546,0.820128651453326,0.00814378204840199,0.0325018103990571,0.133018002094106
"5","Last 15 years Average Marine Survival",0.042243341488515,0.0227582572120406,0.538741880024525,0.0143507438689174,0.0371526690120305,0.0998864248267128
"6","First 5 Years Average Marine Survival",0.0420972950121003,0.0345309170421411,0.820264509446882,0.00812447876389038,0.0324928850046246,0.132633450352092
"7","DPS",0.864429403345112,0.151409393848283,0.175155302749269,0.670820393249937,0.958685536437322,0.979029795993267
"8","DPE",0.769988665306037,0.0893358105423919,0.11602224106362,0.670820393249937,0.827287709808218,0.82729
"9","DPE*DPS",0.678963828914395,0.179150381541315,0.263858506023452,0.45,0.793038629958532,0.80994155992727
