"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.64780522133088,1.26554267751516,0.768017154656801,0.333394533289744,1.30473880127305,4.97557612528378
"2","Geomean Spawners (NOR)",780.098726578746,905.015359491222,1.16012926140813,4.84389280760965,480.984741105907,3186.70055282123
"3","QET Threshold -116 (Mean not median)",0.38499,0.486595383918381,1.26391694308523,0,0.38499,1
"4","SAR",0.0421706867377703,0.0345898163720181,0.820233651567206,0.00814411685511919,0.03250611265778,0.133050869020021
"5","Last 15 years Average Marine Survival",0.042243341488515,0.0227582572120406,0.538741880024525,0.0143507438689174,0.0371526690120305,0.0998864248267128
"6","First 5 Years Average Marine Survival",0.0420972950121003,0.0345309170421411,0.820264509446882,0.00812447876389038,0.0324928850046246,0.132633450352092
"7","DPS",0.859825412282115,0.149201240630173,0.173525041827001,0.670820393249937,0.954939129409096,0.978395017716229
"8","DPE",0.823828336789114,0.124351291758586,0.150943207711509,0.670820393249937,0.906031372415616,0.90607
"9","DPE*DPS",0.726761035742144,0.211590782659339,0.291142166755363,0.45,0.860441952169412,0.886494373702144
