"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.763062557559785,0.596723724324513,0.782011538127082,0.15118286543671,0.599103686342815,2.34064497666992
"2","Geomean Spawners (NOR)",32.3892318324562,65.7736862574421,2.0307269588139,0.0679941605666269,8.53388107870702,213.574511543919
"3","QET Threshold -116 (Mean not median)",0.97594,0.153236259460717,0.157014016702581,1,0.97594,1
"4","SAR",0.0421648102315218,0.0345808955356491,0.82013639681454,0.00814516003213482,0.032501472534303,0.133024990907252
"5","Last 15 years Average Marine Survival",0.042243341488515,0.0227582572120406,0.538741880024525,0.0143507438689174,0.0371526690120305,0.0998864248267128
"6","First 5 Years Average Marine Survival",0.0420972950121003,0.0345309170421411,0.820264509446882,0.00812447876389038,0.0324928850046246,0.132633450352092
"7","DPS",0.671619498426464,0.0396705127179546,0.0590669461069825,0.670820393249937,0.677059800007377,0.709984352705398
"8","DPE",0.576231037444499,0.0598898096235446,0.103933675438844,0.53371985732865,0.547517879189604,0.670820393249937
"9","DPE*DPS",0.387259933997683,0.0468351275967251,0.12093977064254,0.365960284219597,0.37822959983167,0.45
