"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.533773735808333,0.429985346727075,0.80555733240774,0.100383263407536,0.414431650729178,1.67577747786304
"2","Geomean Spawners (NOR)",21.6946383918437,62.6491824675241,2.88777260703629,0.0182550481004841,3.34920271148034,170.624321236553
"3","QET Threshold -116 (Mean not median)",0.98138,0.135179430146688,0.137744227665826,1,0.98138,1
"4","SAR",0.0421707657923382,0.0345899808377002,0.820236013925664,0.00814406902558816,0.0325060589658214,0.133051369240932
"5","Last 15 years Average Marine Survival",0.042243341488515,0.0227582572120406,0.538741880024525,0.0143507438689174,0.0371526690120305,0.0998864248267128
"6","First 5 Years Average Marine Survival",0.0420972950121003,0.0345309170421411,0.820264509446882,0.00812447876389038,0.0324928850046246,0.132633450352092
"7","DPS",0.5279074526406,0.0882778981013575,0.167222299400757,0.467333082307573,0.478660626518802,0.670820393249937
"8","DPE",0.587008270919579,0.109124713848148,0.185899789243511,0.532764405938995,0.630284223137033,0.670820393249937
"9","DPE*DPS",0.314794191564818,0.0949346669961267,0.301576933564796,0.268177050055328,0.298443054981853,0.45
