"","year","month","sex"
"320",2003,3,1
"321",2003,3,1
"322",2003,3,3
"323",2003,3,3
"324",2003,3,3
"325",2003,3,1
"326",2003,3,1
"327",2003,3,1
"328",2003,3,1
"329",2003,3,3
"330",2003,3,3
"331",2003,3,3
"332",2003,3,3
"333",2003,3,1
"334",2003,3,3
"335",2003,3,3
"336",2003,3,3
"337",2003,3,3
"338",2003,3,3
"339",2003,3,1
"340",2003,3,3
"341",2003,3,3
"342",2003,3,1
"343",2003,3,3
"344",2003,3,5
"345",2003,3,1
"346",2003,3,1
"347",2003,3,3
"348",2003,3,1
"349",2003,3,3
"350",2003,3,3
"351",2003,3,3
"352",2003,3,1
"353",2003,3,3
"354",2003,3,3
"355",2003,3,1
"356",2003,3,0
"357",2003,3,1
"358",2003,3,1
"359",2003,3,3
"360",2003,3,1
"361",2003,3,1
"362",2003,3,1
"363",2003,3,1
"364",2003,3,3
"365",2003,3,3
"366",2003,3,1
"367",2003,3,3
"368",2003,3,1
"369",2003,3,3
"370",2003,3,3
"371",2003,3,3
"372",2003,3,3
"373",2003,3,3
"374",2003,3,1
"375",2003,3,1
"376",2003,3,1
"377",2003,3,1
"378",2003,3,3
"379",2003,3,3
"380",2003,3,1
"381",2003,3,1
"382",2003,3,3
"383",2003,3,3
"384",2003,3,1
"385",2003,3,3
"386",2003,3,1
"387",2003,3,1
"388",2003,3,1
"389",2003,3,1
"390",2003,3,1
"391",2003,3,1
"392",2003,3,1
"393",2003,3,1
"394",2003,3,3
"395",2003,3,3
"396",2003,3,1
"397",2003,3,1
"398",2003,3,1
"399",2003,3,3
"400",2003,3,1
"401",2003,3,1
"402",2003,3,1
"403",2003,3,3
"404",2003,3,1
"405",2003,3,3
"406",2003,3,1
"407",2003,3,3
"408",2003,3,3
"409",2003,3,1
"410",2003,3,1
"411",2003,3,4
"412",2003,3,3
"413",2003,3,3
"414",2003,3,3
"415",2003,3,3
"416",2003,3,3
"417",2003,3,3
"418",2003,3,3
"419",2003,3,3
"420",2003,3,3
"421",2003,3,1
"422",2003,3,3
"423",2003,3,3
"424",2003,3,3
"425",2003,3,3
"426",2003,3,1
"427",2003,3,3
"428",2003,3,1
"429",2003,3,3
"430",2003,3,1
"431",2003,3,3
"432",2003,10,1
"433",2003,10,1
"434",2003,10,1
"435",2003,10,1
"436",2003,10,1
"437",2003,10,1
"438",2003,10,1
"439",2003,10,1
"440",2003,10,1
"441",2003,10,1
"442",2003,10,1
"443",2003,10,1
"444",2003,10,1
"445",2003,10,1
"446",2003,10,1
"447",2003,10,1
"448",2003,10,1
"449",2003,10,1
"450",2003,10,1
"451",2003,10,1
"452",2003,10,3
"453",2003,10,1
"454",2003,10,1
"455",2003,10,1
"456",2003,10,1
"457",2003,10,1
"458",2003,10,3
"459",2003,10,1
"460",2003,10,1
"461",2003,10,1
"462",2003,10,1
"463",2003,10,1
"464",2003,10,1
"465",2003,10,1
