"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.40216852195399,0.280161695235212,0.19980600822845,0.949289571524266,1.37037085326991,2.03285296179547
"2","Geomean Spawners (NOR)",754.070901451545,249.280624481648,0.330579822138471,358.871640030624,723.032858876121,1323.58380997258
"3","QET Threshold -100 (Mean not median)",0,0,NA,0,0,0
"4","SAR",0.0388427236161898,0.00194349520683369,0.0500349879178821,0.0350269444947786,0.0388350535022549,0.0426561804021981
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.98,5.72861427326401e-16,5.84552476863675e-16,0.98,0.98,0.980000000000001
"7","DPE",0.7576329296,0.000279189375560883,0.000368502165960875,0.7576,0.7576,0.7576
"8","DPE*DPS",0.742480271008,0.000273605588049664,0.000368502165960873,0.742448,0.742448,0.742448000000001
