"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.23111176998991,0.248746939777801,0.202050655221856,0.829008864733789,1.20282173724867,1.79204001205219
"2","Geomean Spawners (NOR)",848.3042089308,297.85188831727,0.351114476601126,387.878673127284,807.507867256072,1540.50306051452
"3","QET Threshold -100 (Mean not median)",0,0,NA,0,0,0
"4","SAR",0.041950141505485,0.00209897482338038,0.0500349879178821,0.0378291000543609,0.0419418577824352,0.0460686748343739
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.831535757298459,0.0109335644456565,0.0131486401513004,0.828520123534621,0.832268137023558,0.8460345656809
"7","DPE",0.650550180045734,0.0105843930594667,0.0162699102761336,0.645418805102203,0.648016047751512,0.674659266624031
"8","DPE*DPS",0.540991130050878,0.0126389852608611,0.0233626478490922,0.536905354852153,0.539847227552176,0.56568323645808
