"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",2.05349518285419,0.4229263238194,0.205954378345104,1.37313185665693,2.0045396281633,3.00980850848672
"2","Geomean Spawners (NOR)",1493.74054815221,430.224015986894,0.288017900109287,788.256102435619,1447.90554619101,2457.70739796265
"3","QET Threshold -100 (Mean not median)",0.00013,0.0114010701183704,87.70053937208,0,0.00013,0
"4","SAR",0.0438922776862945,0.00219614958372207,0.0500349879178821,0.0395804472790998,0.043883610457548,0.0482014838544838
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.971494824085807,0.00486243131793224,0.00500510264942262,0.967378159030425,0.972447201673338,0.978262655421497
"7","DPE",0.911916633357493,0.00150287291912022,0.0016480376211441,0.912108651961609,0.912127353672597,0.91213
"8","DPE*DPS",0.885925653207956,0.00524996411289648,0.00592596466067581,0.882374591176926,0.886681850781163,0.892296430217695
