"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.535199369544801,0.321488419595865,0.60068908502134,0,0.529580884877368,1.19150635835378
"2","Geomean Spawners (NOR)",7.24065756853848,16.5736200272575,2.28896614297462,0,1.34801256581767,50.8296810920225
"3","QET Threshold",1,0,0,1,1,1
"4","SAR",0.0438696659048713,0.00218823600271568,0.0498803890474284,0.0396688142402682,0.0438679254613941,0.0481146605780886
"5","First 5 Years Average Marine Survival",0.0251988580076456,0.0115925726923717,0.460043573754588,0.00532289165539878,0.0244992269500019,0.0495021020377319
"6","DPS",0.472763464523597,0.0196578038733484,0.041580632490621,0.465779319260271,0.468726428360197,0.519737389938944
"7","DPE",0.559596534973062,0.116232984859157,0.207708549990847,0.530723731129854,0.594614784683759,0.67074317924825
"8","DPE*DPS",0.265493489008245,0.0586861864571075,0.221045671124858,0.241648122473057,0.281975032264658,0.326369955506802
