"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.63143702017485,0.932999892372632,0.571888390930736,0,1.64981729109316,3.43167174693811
"2","Geomean Spawners (NOR)",1065.26664144711,1195.58953103319,1.12233828087308,0,649.335881128616,4058.84910712891
"3","QET Threshold",0.3987,0.48965527284879,1.22812960333281,0,0,1
"4","SAR",0.0438696659048713,0.00218823600271568,0.0498803890474284,0.0396688142402682,0.0438679254613941,0.0481146605780886
"5","First 5 Years Average Marine Survival",0.0251988580076456,0.0115925726923717,0.460043573754588,0.00532289165539878,0.0244992269500019,0.0495021020377319
"6","DPS",0.958460913904045,0.0208578449698209,0.0217618106980094,0.949641807111384,0.966161330935876,0.978463718096862
"7","DPE",0.905798207492151,0.00150652269990405,0.00166319902980941,0.906027938479286,0.906064136491229,0.90607
"8","DPE*DPS",0.868172366064508,0.0189602022543412,0.0218392141877185,0.8586327786765,0.875409797121069,0.886537308818387
