"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",2.09496108261344,0.429463136751352,0.204998145462254,1.40310830580947,2.04566510858834,3.06407053117255
"2","Geomean Spawners (NOR)",1567.7088191941,437.775412763417,0.279245359472086,847.787631750284,1521.75453725723,2548.18390146036
"3","QET Threshold -100 (Mean not median)",2e-05,0.00447211359404029,223.605679702015,0,2e-05,0
"4","SAR",0.0438922776862945,0.00219614958372207,0.0500349879178821,0.0395804472790998,0.043883610457548,0.0482014838544838
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.971507354683205,0.00486495782618617,0.00500763869952644,0.967315101472224,0.972447201590572,0.978312490734876
"7","DPE",0.938164356851643,0.00156111339563464,0.00166400842691736,0.938373887392319,0.938388694488194,0.93839
"8","DPE*DPS",0.911437063802284,0.00541208124387871,0.00593796484564813,0.907708198629783,0.912255665487331,0.9180386581807
