"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.904332427474762,0.191198582590223,0.211425109596171,0.597409670236602,0.88129495169695,1.33905389667308
"2","Geomean Spawners (NOR)",95.1510000051647,52.4677174741988,0.551415302743544,27.7152838589661,83.9215950638464,227.801768865946
"3","QET Threshold -100 (Mean not median)",0.7674,0.422491449606084,0.550549191563831,0,0.7674,1
"4","SAR",0.0450575593947802,0.00225445443992708,0.0500349879178821,0.0406312556139432,0.0450486620626156,0.0494811692665498
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.687204847227937,0.0121470822449622,0.0176760718350014,0.678946860811125,0.686682928796769,0.713517471408391
"7","DPE",0.545973293193946,0.0223546388036793,0.0409445646560925,0.532623168161714,0.539092807547266,0.596201640960348
"8","DPE*DPS",0.375199700184786,0.0169273234767997,0.0451155037396432,0.365636124432492,0.371095052771607,0.41431282825061
