"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.64515651451999,0.145161416125882,0.225001860570043,0.414612852210923,0.627365794685012,0.977067628444113
"2","Geomean Spawners (NOR)",25.071990032137,19.0248046826246,0.758807125331448,5.22588412685622,19.939378249898,75.4936163832101
"3","QET Threshold -100 (Mean not median)",0.99252,0.0861633555593004,0.0868127146649945,1,0.99252,1
"4","SAR",0.041950141505485,0.00209897482338038,0.0500349879178821,0.0378291000543609,0.0419418577824352,0.0460686748343739
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.8136562814906,0.0172811207887727,0.0212388464046686,0.800828377938228,0.81985227288608,0.834463439034383
"7","DPE",0.337515374728812,0.0355970872276181,0.10546804647409,0.311624129862575,0.340063554750339,0.39681526666232
"8","DPE*DPS",0.274290954036182,0.0261605516461603,0.0953751892332166,0.255732198353457,0.279811672261277,0.310371868612597
