"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.61476598935541,0.135076555249214,0.219720279891937,0.40008075863703,0.598106929916003,0.924071469085885
"2","Geomean Spawners (NOR)",8.91449732416272,6.89255206524328,0.773184601958547,1.89222107918637,7.02871726460462,27.1403795147685
"3","QET Threshold -100 (Mean not median)",0.99998,0.00447211359404029,0.00447220303810105,1,0.99998,1
"4","SAR",0.0388427236161898,0.00194349520683369,0.0500349879178821,0.0350269444947786,0.0388350535022549,0.0426561804021981
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.697924995266865,0.00497630537442351,0.00713014350850226,0.694026920788193,0.697450028503479,0.708841892013963
"7","DPE",0.387852141451592,0.000779425070728393,0.0020095933151517,0.387561342911754,0.387830476533153,0.388785463849507
"8","DPE*DPS",0.270692104609715,0.00206030454908343,0.00761124729535051,0.269244082283528,0.27047621000448,0.27554476561495
