"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.40216856960638,0.280161095667551,0.199805573837815,0.949366329347745,1.3703579248648,2.03274382039596
"2","Geomean Spawners (NOR)",754.070531766502,249.279776589337,0.33057885978566,358.782547099332,722.955346317167,1323.47557480479
"3","QET Threshold -100 (Mean not median)",0,0,NA,0,0,0
"4","SAR",0.0388427236161898,0.00194349520683369,0.0500349879178821,0.0350269444947786,0.0388350535022549,0.0426561804021981
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.98,5.72847194004633e-16,5.84537953065952e-16,0.98,0.98,0.980000000000001
"7","DPE",0.7576328864,0.000279008728615546,0.000368263750985383,0.7576,0.7576,0.7576
"8","DPE*DPS",0.742480228672,0.000273428554043239,0.000368263750985387,0.742448,0.742448,0.742448000000001
