"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.618465690925958,0.135855622330073,0.219665576156168,0.402341662248733,0.601804856219434,0.929231218890162
"2","Geomean Spawners (NOR)",9.25754896566529,7.14521768410336,0.771826075195906,1.96958172955279,7.30595190268213,28.1235679068486
"3","QET Threshold -100 (Mean not median)",0.99996,0.00632446045034672,0.00632471343888428,1,0.99996,1
"4","SAR",0.0388427236161898,0.00194349520683369,0.0500349879178821,0.0350269444947786,0.0388350535022549,0.0426561804021981
"5","First 5 Years Average Marine Survival",0.0311563166666667,0.00714797805653713,0.229423077606108,0.0193833333333333,0.0305,0.0467337499999999
"6","DPS",0.701380776208064,0.00452087481786356,0.00644567825526265,0.698566086060019,0.70181881906835,0.709285537813233
"7","DPE",0.388387040333443,0.000940980901081462,0.00242279170868729,0.387991059595195,0.388232187187643,0.392562216057002
"8","DPE*DPS",0.272407178590649,0.00187155151370918,0.0068704192135905,0.271445594686531,0.272352518009589,0.277196629139631
