x.Year,x.ProjectSurvival,x.1minusDPE,x.DPS,x.DPE
1947,0.874854244973852,0.10302,0.964579422891191,0.89698
1948,0.856299373450321,0.10302,0.944121561060135,0.89698
1949,0.843707727329485,0.10302,0.93023851389169,0.89698
1950,0.847281192665598,0.10302,0.934178474349597,0.89698
1951,0.870987023683631,0.10302,0.960315578826028,0.89698
1952,0.860629754900787,0.103569921873757,0.949471752614241,0.896430078126243
1953,0.85199909304445,0.10302,0.939380243273776,0.89698
1954,0.867764275725811,0.103036373544578,0.956779577938744,0.896963626455422
1955,0.835432003703877,0.10302,0.921114030853907,0.89698
1956,0.844390973236343,0.103066814267496,0.931039889729421,0.896933185732504
1957,0.86809736089981,0.103026404147615,0.957136310108303,0.896973595852385
1958,0.86337547501447,0.10302,0.951923388624302,0.89698
1959,0.8541326218772,0.10302,0.941732587132241,0.89698
1960,0.833461279340954,0.10302,0.918941188715247,0.89698
1961,0.867875512217864,0.10302,0.956884950294234,0.89698
1962,0.850785883754842,0.10302,0.938042607063928,0.89698
1963,0.84561501438289,0.10302,0.932341412581192,0.89698
1964,0.85387822692004,0.10302,0.941452101391474,0.89698
1965,0.883759902258639,0.103332076492663,0.974733835117844,0.896667923507337
1966,0.869670912283321,0.10302,0.958864486850119,0.89698
1967,0.875641012381199,0.10302,0.965446881277646,0.89698
1968,0.882576189155861,0.10302,0.973093330785531,0.89698
1969,0.847449294208624,0.103318493263313,0.934671423109477,0.896681506736687
1970,0.870226105966119,0.103031533495096,0.959488822494153,0.896968466504904
1971,0.845977417888654,0.10302,0.932740984242931,0.89698
1972,0.848945157823029,0.103053455162069,0.936047623374246,0.896946544837931
1973,0.887080488739947,0.10302,0.978059591986534,0.89698
1974,0.845144886243013,0.103029776169169,0.931833112087536,0.896970223830831
1975,0.855825303411357,0.10302,0.943598870329398,0.89698
1976,0.852541759152539,0.111682368106128,0.94904266473672,0.888317631893872
1977,0.840736300603729,0.133830765044887,0.959559257575166,0.866169234955113
1978,0.886139737648076,0.10302,0.977022357326596,0.89698
1979,0.859445701994719,0.103073054365945,0.947646010665015,0.896926945634055
1980,0.879951509492962,0.10302,0.97019946359673,0.89698
1981,0.867988694039524,0.10302,0.957009740059896,0.89698
1982,0.869206072409656,0.10302,0.958351972931769,0.89698
1983,0.862383600679267,0.10302,0.9508297875138,0.89698
1984,0.846041579224927,0.10302,0.932811725975133,0.89698
1985,0.870413584204413,0.10302,0.95968332731087,0.89698
1986,0.875417290283334,0.10302,0.965200214209061,0.89698
1987,0.88427988085241,0.10302,0.974971753348928,0.89698
1988,0.859498036914061,0.10302,0.947648279911422,0.89698
1989,0.868443731703328,0.103024580383565,0.957516282051609,0.896975419616435
1990,0.839265827482085,0.10302,0.925341052153393,0.89698
1991,0.858519559861332,0.10302,0.946569450110622,0.89698
1992,0.8879414587161,0.10302,0.979008863167987,0.89698
1993,0.843431041651538,0.103615914453971,0.930544848593003,0.896384085546029
1994,0.874709243778319,0.10302,0.964419550352068,0.89698
1995,0.864877786948155,0.10302,0.953579777887225,0.89698
1996,0.837241924746341,0.10302,0.923109577660302,0.89698
1997,0.865280326520866,0.10302,0.954023601976742,0.89698
1998,0.870782512745155,0.10302,0.960090093216119,0.89698
1999,0.851320294281369,0.10302,0.938631826811362,0.89698
2000,0.859158543925082,0.103527827013677,0.947804653610745,0.896472172986323
2001,0.885805783335464,0.10302,0.976654152611374,0.89698
2002,0.854374198286447,0.104208049575515,0.943234478829336,0.895791950424485
2003,0.870133564313848,0.10302,0.959374588539822,0.89698
2004,0.866468270896648,0.103147224097681,0.955467407633518,0.896852775902319
2005,0.87051392519687,0.10302,0.959793959290028,0.89698
2006,0.872805455349837,0.10302,0.962320509106966,0.89698
2007,0.884330646187209,0.10302,0.975027725183806,0.89698
2008,0.839388494882787,0.103049529713271,0.925506433242619,0.896950470286729
2009,0.850026490383634,0.103092679130733,0.937280437397823,0.896907320869267
2010,0.865666777033153,0.10302,0.954449686909472,0.89698
2011,0.847305266278857,0.104241139881997,0.935464507814441,0.895758860118003
2012,0.843002907116206,0.10302,0.929461407215381,0.89698
2013,0.858227993652946,0.10302,0.946247980829727,0.89698
2014,0.850176815675845,0.10302,0.937371072874644,0.89698
2015,0.887129177941009,0.103022133151972,0.978115575216848,0.896977866848028
2016,0.88442995569907,0.10302,0.975137219893569,0.89698
2017,0.844042380992485,0.10302,0.930607489682777,0.89698
2018,0.872195131726494,0.103021506042811,0.961649187425676,0.896978493957189
2019,0.852841109573724,0.102,0.949711703311496,0.898
