x.Year,x.ProjectSurvival,x.1minusDPE,x.DPS,x.DPE
1947,0.660046749674006,0.2424,0.859883728079737,0.7576
1948,0.615281975766734,0.2424,0.801565888179696,0.7576
1949,0.621214291940264,0.2424,0.809294283403158,0.7576
1950,0.609226034187637,0.2424,0.793676438493534,0.7576
1951,0.642540789632962,0.2424,0.837077631100784,0.7576
1952,0.626659747210991,0.2424,0.816388414813692,0.7576
1953,0.620591145189179,0.2424,0.808482471585694,0.7576
1954,0.658825081811456,0.2424,0.858292185788764,0.7576
1955,0.610226275125689,0.2424,0.794979514233571,0.7576
1956,0.611088384557334,0.2424,0.796102637516068,0.7576
1957,0.652657181492552,0.2424,0.850256880527035,0.7576
1958,0.659340766136979,0.2424,0.858963999657346,0.7576
1959,0.633197899441237,0.2424,0.82490607014231,0.7576
1960,0.613358212742547,0.2424,0.79905968309347,0.7576
1961,0.633921823542247,0.2424,0.825849170847117,0.7576
1962,0.625052194528673,0.2424,0.814294156499052,0.7576
1963,0.624282498959565,0.2424,0.813291426471554,0.7576
1964,0.620075710827413,0.2424,0.80781098336036,0.7576
1965,0.682038911097859,0.2424,0.888534277094656,0.7576
1966,0.648287165452428,0.2424,0.844563790323642,0.7576
1967,0.664832839505767,0.2424,0.866118863347794,0.7576
1968,0.682185819738061,0.2424,0.888725664067302,0.7576
1969,0.618490181598001,0.2424,0.805745416360084,0.7576
1970,0.647493288288366,0.2424,0.843529557436642,0.7576
1971,0.610264251149384,0.2424,0.79502898794865,0.7576
1972,0.61579745700025,0.2424,0.802237437467756,0.7576
1973,0.702413676368908,0.2424,0.915077744097066,0.7576
1974,0.614149875224168,0.2424,0.800091030776665,0.7576
1975,0.638832642206584,0.2424,0.83224679808049,0.7576
1976,0.630450803312849,0.2424,0.821327258093862,0.7576
1977,0.654480754088156,0.2424,0.852632561344654,0.7576
1978,0.685596572406142,0.2424,0.893169062540571,0.7576
1979,0.634552010167631,0.2424,0.826670153944282,0.7576
1980,0.665879536705806,0.2424,0.86748246053388,0.7576
1981,0.653505264622742,0.2424,0.851361730879028,0.7576
1982,0.646604199152326,0.2424,0.842371286024395,0.7576
1983,0.654019634559159,0.2424,0.852031832411619,0.7576
1984,0.616622394171503,0.2424,0.803312134147347,0.7576
1985,0.640262885934671,0.2424,0.834110065052985,0.7576
1986,0.655966455849568,0.2424,0.854568076927525,0.7576
1987,0.689934885437,0.2424,0.898820851272798,0.7576
1988,0.62769457922923,0.2424,0.817736554493524,0.7576
1989,0.648278609027164,0.2424,0.844552643339192,0.7576
1990,0.640933750432353,0.2424,0.834984041730528,0.7576
1991,0.628188794265459,0.2424,0.818380398990958,0.7576
1992,0.677171931206906,0.2424,0.882193761343025,0.7576
1993,0.612544042761846,0.2424,0.797999013499017,0.7576
1994,0.678404989129784,0.2424,0.883800142170119,0.7576
1995,0.635873865451903,0.2424,0.828392216586638,0.7576
1996,0.629826498015631,0.2424,0.820513936966691,0.7576
1997,0.639536376755152,0.2424,0.833163596606504,0.7576
1998,0.654912167599822,0.2424,0.85319459041144,0.7576
1999,0.622297583795883,0.2424,0.810705554710633,0.7576
2000,0.639292321087183,0.2424,0.832845650191745,0.7576
2001,0.675108333024095,0.2424,0.879505384346137,0.7576
2002,0.651259811793456,0.2424,0.848436440585535,0.7576
2003,0.643859067500749,0.2424,0.838795033221403,0.7576
2004,0.665138933368243,0.2424,0.866517630755918,0.7576
2005,0.646541350118652,0.2424,0.842289408700693,0.7576
2006,0.650526025461668,0.2424,0.847480491742662,0.7576
2007,0.66513086562139,0.2424,0.866507120403063,0.7576
2008,0.612316082575628,0.2424,0.797702035663924,0.7576
2009,0.622360062646813,0.2424,0.810786949774379,0.7576
2010,0.619223589159112,0.2424,0.806700871754967,0.7576
2011,0.61263020256496,0.2424,0.798111259203961,0.7576
2012,0.618251608042048,0.2424,0.805434611831747,0.7576
2013,0.650433269253432,0.2424,0.847359652492745,0.7576
2014,0.633362519220161,0.2424,0.825120530510891,0.7576
2015,0.704164756465529,0.2424,0.917358984452227,0.7576
2016,0.67520234598703,0.2424,0.879627860848137,0.7576
2017,0.62007006633299,0.2424,0.807803629928335,0.7576
2018,0.655702726747136,0.2424,0.854224500712788,0.7576
2019,0.65955817311201,0.24,0.867839701463171,0.76
