x.Year,x.ProjectSurvival,x.1minusDPE,x.DPS,x.DPE
1947,0.906532235371069,0.0610465201322757,0.965470872421473,0.938953479867724
1948,0.909084808476881,0.061,0.968141436077616,0.939
1949,0.900066189297239,0.0610000000000001,0.958536942808561,0.939
1950,0.908012531373063,0.061,0.96699950092978,0.939
1951,0.90829600841189,0.0610368265823656,0.967339331430728,0.938963173417634
1952,0.888098462973239,0.0626851705143388,0.947492171291659,0.937314829485661
1953,0.906642895168328,0.0610000000000001,0.965540889423138,0.939
1954,0.900929572408339,0.0612397563891113,0.959701455765707,0.938760243610889
1955,0.906663634118503,0.0610000000000001,0.96556297563206,0.939
1956,0.902388364346298,0.0612247698025158,0.961240066119415,0.938775230197484
1957,0.898594176973179,0.0610857298650173,0.957056682974892,0.938914270134983
1958,0.909384189774503,0.0610000000000001,0.968460266000536,0.939
1959,0.905041236610358,0.0610130551180601,0.96384858335187,0.93898694488194
1960,0.900887326297612,0.0610000000000001,0.959411423107147,0.939
1961,0.909745665340626,0.0610000000000001,0.968845224004926,0.939
1962,0.909845729733721,0.061,0.968951788853803,0.939
1963,0.901300371526663,0.0611219640827815,0.959975989475732,0.938878035917219
1964,0.904688806645259,0.061,0.963459857982172,0.939
1965,0.880272700677717,0.0620444977838758,0.938501558547161,0.937955502216124
1966,0.905959174936368,0.0610501236951023,0.964864257186593,0.938949876304898
1967,0.894890926422461,0.0611513089167279,0.953179074457576,0.938848691083272
1968,0.898020244059386,0.061,0.956358087390186,0.939
1969,0.902405250101007,0.0617840114192296,0.961831029405144,0.93821598858077
1970,0.906536909530676,0.061,0.965428018669517,0.939
1971,0.908055173852025,0.0610000000000001,0.967044913580431,0.939
1972,0.900070693330021,0.0616683881525454,0.959224523575303,0.938331611847455
1973,0.902760507971413,0.0610000000000002,0.961406291769343,0.939
1974,0.90581415399009,0.0611572700943668,0.964819905545989,0.938842729905633
1975,0.908931251583192,0.0610000000000001,0.967977903709469,0.939
1976,0.85473740473632,0.0833473115549013,0.932455024144636,0.916652688445099
1977,0.87128300325209,0.0781053037203277,0.945100353400637,0.921894696279672
1978,0.895670762110791,0.0610626683875093,0.953919640805637,0.938937331612491
1979,0.903874141575541,0.061082667025552,0.962677021535122,0.938917332974448
1980,0.903109203316998,0.0610817858617964,0.961861416381114,0.938918214138204
1981,0.90569177017083,0.0610000000000001,0.964527976752748,0.939
1982,0.909394815777529,0.0610000000000001,0.968471582297689,0.939
1983,0.907184829573019,0.06111596096523,0.96623735398214,0.93888403903477
1984,0.908779395205696,0.061,0.967816182327686,0.939
1985,0.905103998456453,0.0611125593877829,0.964017580069306,0.938887440612217
1986,0.906988963120923,0.061,0.965909438893423,0.939
1987,0.888681406506814,0.0615732612956294,0.946990713130959,0.938426738704371
1988,0.907399391703971,0.0611342022626172,0.966484660417661,0.938865797737383
1989,0.89754871982025,0.0616040150112062,0.956471185062635,0.938395984988794
1990,0.906804391052748,0.0610805630384028,0.965795738543048,0.938919436961597
1991,0.907396010060664,0.0610781142240186,0.966423324247829,0.938921885775981
1992,0.897758151546921,0.0610000000000002,0.956078968633567,0.939
1993,0.89405990482204,0.0617320560372206,0.952883353390476,0.938267943962779
1994,0.896709161652788,0.0610581923854552,0.955021018747633,0.938941807614545
1995,0.907893566924898,0.0610000000000001,0.966872808226728,0.939
1996,0.90604201110323,0.061,0.964900970290981,0.939
1997,0.903906108103043,0.0612947882322387,0.962928613553573,0.938705211767761
1998,0.906563783018665,0.061,0.965456637932551,0.939
1999,0.907861798774104,0.0610000000000001,0.966838976330249,0.939
2000,0.894923005874752,0.0618271184921459,0.953899887232309,0.938172881507854
2001,0.895777454797693,0.0610000000000002,0.953969600423527,0.939
2002,0.893940351344166,0.0638804554974798,0.954942514120064,0.93611954450252
2003,0.908913540909379,0.0610072888299179,0.967966556179949,0.938992711170082
2004,0.901073143375969,0.0612988611159117,0.95991482917252,0.938701138884088
2005,0.89862079665263,0.0610879262270896,0.95708727340317,0.93891207377291
2006,0.905692957488947,0.0610000000000001,0.964529241202287,0.939
2007,0.90408911207912,0.0611801307980525,0.96300594154196,0.938819869201947
2008,0.893875007865664,0.0614003167503702,0.952349573324892,0.93859968324963
2009,0.901030207284808,0.061459225873242,0.960033098320262,0.938540774126758
2010,0.907026927068747,0.061,0.965949869082798,0.939
2011,0.88179369477224,0.0644277058198308,0.942517964947803,0.935572294180169
2012,0.908529811052237,0.0610000000000001,0.967550384507175,0.939
2013,0.900957354263892,0.0611974439908455,0.959687794304542,0.938802556009155
2014,0.906576684105596,0.0610264734381369,0.965497597600125,0.938973526561863
2015,0.489073269304613,0.374602817992263,0.782020263881782,0.625397182007737
2016,0.905276916985688,0.0610701288271106,0.964158181329173,0.938929871172889
2017,0.907909340700226,0.0610056041040323,0.966895377297666,0.938994395895968
2018,0.895315070350559,0.0618101591525684,0.954300538515591,0.938189840847432
2019,0.407102792331832,0.02745,0.963442888017589,0.97255
