"","FOS","A1","A2a","A2b","A3a","A3b","A4","NAA"
"1","Recruits Per Spawner (R/S)",1.32626918957382,1.32626926437112,1.32626975197613,0.504068444277439,0.508650482175449,1.14356960462821,0.505521982973719
"2","Geomean Spawners (NOR)",249.842374597739,249.842128541909,249.842628608111,8.48414655815842,8.79461104465664,159.299595997605,8.58090423212052
"3","QET Threshold",0.71979,0.71981,0.7198,0.9962,0.99591,0.81089,0.99611
"4","SAR",0.0421707346605508,0.0421707346605508,0.0421707346605508,0.0421707346605508,0.0421707346605508,0.0421707346605508,0.0421707346605508
"5","Marine Survival",0.042243341488515,0.042243341488515,0.042243341488515,0.042243341488515,0.042243341488515,0.042243341488515,0.042243341488515
"6","Initial Marine Survival",0.0420972950121003,0.0420972950121003,0.0420972950121003,0.0420972950121003,0.0420972950121003,0.0420972950121003,0.0420972950121003
"7","DPS",0.874532866980185,0.874532866980185,0.874532866980185,0.680405740439281,0.684143354695912,0.776952133861629,0.681779900562001
"8","DPE",0.72258202924685,0.72258199424685,0.722582057446851,0.469880052316294,0.470263796139297,0.72258201184685,0.469899043829093
"9","DPS*DPE",0.64086151235467,0.640861478054671,0.640861539990663,0.317926604134179,0.319644868102097,0.566931810730428,0.318472657477275
