"","GP","A1","A2a","A2b","A3a","A3b"
"1","Recruits Per Spawner (R/S)",1.56541428609898,0.757248028881268,0.749708374756616,0.756796394811681,0.531435083398775
"2","Geomean Spawners (NOR)",322.142559810602,29.4941354911838,28.4267566454931,29.4046379955949,7.64181233049856
"3","QET Threshold",0.57975,0.97947,0.98055,0.97933,0.99797
"4","SAR",0.042984780953873,0.042984780953873,0.042984780953873,0.042984780953873,0.042984780953873
"5","Marine Survival",0.0423069485112263,0.0423069485112263,0.0423069485112263,0.0423069485112263,0.0423069485112263
"6","Initial Marine Survival",0.0420832805995582,0.0420832805995582,0.0420832805995582,0.0420832805995582,0.0420832805995582
"7","DPS",0.854742964001381,0.677063593768049,0.674256315369785,0.676717404227762,0.83820611487966
"8","DPE",0.809925408746329,0.573398843969967,0.571703818472967,0.573358352130061,0.39832352057978
"9","DPS*DPE",0.708567152751638,0.386760914312237,0.38416408538604,0.386542419517364,0.311736823898005
