x.Year,x.ProjectSurvival,x.1minusDPE,x.DPS,x.DPE
1947,0.844326780807692,0.102544950983749,0.940801193032681,0.897455049016251
1948,0.849801047286166,0.102,0.946326333280809,0.898
1949,0.859428777755083,0.102,0.95704763669831,0.898
1950,0.842439945229446,0.102,0.93812911495484,0.898
1951,0.844946845512342,0.102,0.940920763376772,0.898
1952,0.860276903710395,0.110375093959549,0.967010813062013,0.889624906040451
1953,0.852157602698005,0.102,0.948950559797333,0.898
1954,0.853919114306046,0.103444221905696,0.952443936194483,0.896555778094304
1955,0.842851618694598,0.102,0.938587548657682,0.898
1956,0.848198238829042,0.103665711959475,0.946296766894064,0.896334288040525
1957,0.857789941210953,0.103420068599442,0.956735602893754,0.896579931400558
1958,0.853459525966353,0.102,0.950400362991484,0.898
1959,0.84806528380724,0.102,0.94439341181207,0.898
1960,0.855251927533874,0.102,0.952396355828368,0.898
1961,0.852246629775521,0.102,0.949049699081873,0.898
1962,0.848378856733919,0.102,0.944742602153584,0.898
1963,0.852301899753163,0.10298986839168,0.950158609942346,0.89701013160832
1964,0.85327522576246,0.102,0.950195128911426,0.898
1965,0.853111148357458,0.106417440705425,0.954708817315027,0.893582559294575
1966,0.851702307774941,0.102393907119258,0.948859766583714,0.897606092880742
1967,0.847703995533497,0.103265156173666,0.945322913868693,0.896734843826334
1968,0.840447330160941,0.102244057693562,0.936164597253163,0.897755942306438
1969,0.850155518841132,0.106507590857081,0.951497192524156,0.893492409142919
1970,0.850408578376897,0.102115334950955,0.947124515519425,0.897884665049045
1971,0.847815184584983,0.102,0.944114904883055,0.898
1972,0.856521668249448,0.104032082518608,0.955973591841515,0.895967917481392
1973,0.848176700661882,0.102,0.944517484033277,0.898
1974,0.855211352204994,0.10363593269289,0.954089285143091,0.89636406730711
1975,0.844450377205419,0.102,0.940367903346791,0.898
1976,0.778428603409868,0.191030693716535,0.962247389812716,0.808969306283465
1977,0.808949980072185,0.145270513654581,0.946439771875693,0.854729486345419
1978,0.855503627388187,0.102,0.952676645198426,0.898
1979,0.857059689540043,0.102799519964994,0.955259954282016,0.897200480035006
1980,0.856557845010044,0.102,0.953850606915417,0.898
1981,0.849043651637682,0.103346038852085,0.946902248165744,0.896653961147916
1982,0.84748060543449,0.102,0.943742322310123,0.898
1983,0.852254284813873,0.102,0.949058223623466,0.898
1984,0.847820092428009,0.102,0.944120370187092,0.898
1985,0.851690546721126,0.102798626664799,0.949274680170298,0.897201373335201
1986,0.854372728756231,0.102,0.951417292601594,0.898
1987,0.863148670300204,0.104397408914093,0.963763033840319,0.895602591085907
1988,0.856274843980517,0.102,0.953535461002802,0.898
1989,0.856570501435374,0.103297301036477,0.955244700864024,0.896702698963523
1990,0.851714424842603,0.102,0.94845704325457,0.898
1991,0.854945021645459,0.102,0.952054589805634,0.898
1992,0.862213314310049,0.102,0.960148456915422,0.898
1993,0.857040300006033,0.108055450793143,0.960867243112969,0.891944549206857
1994,0.847126746685821,0.102,0.94334827025147,0.898
1995,0.849195163669733,0.102,0.945651629921752,0.898
1996,0.845823744875072,0.102,0.941897266007876,0.898
1997,0.84960390889336,0.102189861258882,0.946306877403555,0.897810138741118
1998,0.854128959496017,0.102,0.95114583462808,0.898
1999,0.855186311697242,0.102,0.952323286967976,0.898
2000,0.853997127850794,0.107946764723217,0.957338748495003,0.892053235276783
2001,0.853499133763558,0.102,0.950444469669886,0.898
2002,0.850136736468984,0.116055060141342,0.961753043809404,0.883944939858658
2003,0.860520409272832,0.102,0.958263261996471,0.898
2004,0.848024273237914,0.103926739178923,0.94637828212937,0.896073260821077
2005,0.857440552642634,0.102045236376266,0.954881679320233,0.897954763623734
2006,0.852994586785031,0.102,0.94988261334636,0.898
2007,0.8484096721811,0.102535058634483,0.945340183305904,0.897464941365517
2008,0.858879784192035,0.1031460109405,0.957658431215445,0.8968539890595
2009,0.850453941358523,0.105479282820005,0.950736998064848,0.894520717179995
2010,0.849882632457844,0.102,0.946417185365082,0.898
2011,0.843612473190776,0.114265065086381,0.952443490639837,0.885734934913619
2012,0.848316555230374,0.102,0.944673224087276,0.898
2013,0.84814685407338,0.102938641063874,0.94547250934902,0.897061358936126
2014,0.852217840133817,0.102,0.949017639347235,0.898
2015,0.647861320229195,0.311938479090861,0.941574700141891,0.688061520909139
2016,0.845281626029343,0.102,0.941293570188578,0.898
2017,0.84950636664705,0.102,0.945998181121436,0.898
2018,0.863177093383499,0.102015060428112,0.961237828548679,0.897984939571889
2019,0.393732996810465,0.0459,0.974345451151857,0.9541
