"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.28141087554386,0.925788142829011,0.722475640325815,0.281931815355953,1.03984803519711,3.70149043954396
"2","Geomean Spawners (NOR)",263.98637955433,396.066810669326,1.50033047666315,0.412295943425938,105.200672057334,1378.31002635939
"3","QET Threshold -116 (Mean not median)",0.70367,0.456640576718893,0.64894137410845,0,0.70367,1
"4","SAR",0.0370558456498905,0.00619962457170333,0.167304900562204,0.0248852512168036,0.0370603494777834,0.049146128269443
"5","Last 15 years Average Marine Survival",0.0423069485112263,0.022096886811502,0.522299234264994,0.0147741158189491,0.0374742263138589,0.0981600800910475
"6","First 5 Years Average Marine Survival",0.0420832805995582,0.0344575963350463,0.818795394373509,0.00817810155309582,0.0324987243210501,0.132773838651583
"7","DPS",0.872182513552695,0.158516289269116,0.18174669499326,0.670820393249937,0.98,0.980000000000001
"8","DPE",0.719500545569338,0.0672886528433786,0.0935213367908336,0.670820393249937,0.7576,0.7576
"9","DPE*DPS",0.636930060696483,0.157123469440294,0.246688732619213,0.45,0.742448,0.742448000000001
