"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.695074785428526,0.581574778036178,0.836708207847917,0.107633770280721,0.535315455818248,2.21572542017792
"2","Geomean Spawners (NOR)",92.5275764482559,194.700612592905,2.10424416229887,0.0719813753217218,20.0508845770748,635.308951039191
"3","QET Threshold -116 (Mean not median)",0.88604,0.317764265047663,0.358634220856466,0,0.88604,1
"4","SAR",0.0418731055843763,0.00700557576602476,0.167304900562204,0.028120333874988,0.0418781949098953,0.0555351249444705
"5","Last 15 years Average Marine Survival",0.0423069485112263,0.022096886811502,0.522299234264994,0.0147741158189491,0.0374742263138589,0.0981600800910475
"6","First 5 Years Average Marine Survival",0.0420832805995582,0.0344575963350463,0.818795394373509,0.00817810155309582,0.0324987243210501,0.132773838651583
"7","DPS",0.647070252935128,0.0856457771794899,0.13235931769541,0.670820393249937,0.676200869636414,0.687461926972739
"8","DPE",0.626409700217174,0.177133596135054,0.282775946914044,0.659495111059701,0.670820393249937,0.763209266185105
"9","DPE*DPS",0.41769900080068,0.129201662319956,0.309317623629197,0.45,0.45,0.516042666541068
