"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.496493798950934,0.370274463359251,0.745778626322467,0.105697361222796,0.398038628597568,1.46617775404516
"2","Geomean Spawners (NOR)",7.37446698541121,27.9529139025633,3.79049956530582,0.00228342242453206,0.686001489453705,62.7053378370244
"3","QET Threshold -116 (Mean not median)",0.99657,0.0584659668755493,0.058667195355619,1,0.99657,1
"4","SAR",0.0370558456498905,0.00619962457170333,0.167304900562204,0.0248852512168036,0.0370603494777834,0.049146128269443
"5","Last 15 years Average Marine Survival",0.0423069485112263,0.022096886811502,0.522299234264994,0.0147741158189491,0.0374742263138589,0.0981600800910475
"6","First 5 Years Average Marine Survival",0.0420832805995582,0.0344575963350463,0.818795394373509,0.00817810155309582,0.0324987243210501,0.132773838651583
"7","DPS",0.684114455615032,0.0402115111896493,0.0587789234090931,0.670820393249937,0.699085047962989,0.708951265328024
"8","DPE",0.470259331195454,0.124218366296055,0.264148647471339,0.388049630525863,0.388457158366617,0.670820393249937
"9","DPE*DPS",0.319630531411145,0.0786328580413289,0.246011723893118,0.271616724467921,0.273419460914155,0.45
