"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.56541428609898,1.10461956059261,0.70564039845665,0.353872592704005,1.28198959532788,4.44994532622896
"2","Geomean Spawners (NOR)",322.142559810602,344.978815290407,1.07088866337075,2.67766975980703,215.921288526204,1228.53470361826
"3","QET Threshold -116 (Mean not median)",0.57975,0.493601432254546,0.851403936618449,0,0.57975,1
"4","SAR",0.042984780953873,0.00719156450317586,0.167304900562204,0.0288668914114921,0.0429900053942288,0.0570095087925538
"5","Last 15 years Average Marine Survival",0.0423069485112263,0.022096886811502,0.522299234264994,0.0147741158189491,0.0374742263138589,0.0981600800910475
"6","First 5 Years Average Marine Survival",0.0420832805995582,0.0344575963350463,0.818795394373509,0.00817810155309582,0.0324987243210501,0.132773838651583
"7","DPS",0.854742964001381,0.145475668358915,0.170198146677789,0.670820393249937,0.937371072874644,0.978115575216848
"8","DPE",0.809925408746329,0.141051424011368,0.174153597958729,0.670820393249937,0.896973595852385,0.89698
"9","DPE*DPS",0.708567152751638,0.213655394549898,0.301531610264732,0.45,0.839584681589287,0.877299892820081
