"","SS","A1","A2a","A2b","A3a","A3b","A4","NAA"
"1","Recruits Per Spawner (R/S)",1.31592745387649,1.20369471967482,1.20363964487948,0.840341057115214,0.751903852048845,1.25278438285797,0.71717570634552
"2","Geomean Spawners (NOR)",1608.02131393787,995.286358724863,991.52065305536,147.061215121704,64.0099237275811,617.570442697253,31.1561001126189
"3","QET Threshold",1,1,1,1,1,1,1
"4","SAR",0.0428461773231279,0.0428461773231279,0.0428461773231279,0.0428461773231279,0.0428461773231279,0.0396723864103037,0.0396723864103037
"5","Marine Survival",0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305
"6","DPS",0.9654148937569,0.833341464398385,0.832268137023558,0.690935284922565,0.819841721720451,0.834110065052985,0.697450028503479
"7","DPE",0.82729,0.648346403773633,0.648016047751512,0.463704779130379,0.340063554750339,0.7576,0.387830476533153
"8","DPS*DPE",0.798678087456146,0.540835357821434,0.539847227552176,0.320891130567206,0.279811672261277,0.631921785284141,0.27047621000448
