"","FOS","A1","A2a","A2b","A3a","A3b","A4","NAA"
"1","Recruits Per Spawner (R/S)",1.3691014185672,1.36911315893944,1.3691173013258,0.715788202781521,0.720482160611069,1.25320200925627,0.717199677415483
"2","Geomean Spawners (NOR)",878.526149115849,878.529149505094,878.530207770161,30.7534724872984,32.0630772689887,617.523429905389,31.1595337328332
"3","QET Threshold",1,1,1,1,1,1,1
"4","SAR",0.0396723864103037,0.0396723864103037,0.0396723864103037,0.0396723864103037,0.0396723864103037,0.0396723864103037,0.0396723864103037
"5","Marine Survival",0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305
"6","DPS",0.98,0.98,0.98,0.694922627488441,0.70181881906835,0.834110065052985,0.697450028503479
"7","DPE",0.7576,0.7576,0.7576,0.387804017282745,0.388232187187643,0.7576,0.387830476533153
"8","DPS*DPE",0.742448,0.742448,0.742448,0.269571561438942,0.272352518009589,0.631921785284141,0.27047621000448
