"","GP","A1","A2a","A2b","A3a","A3b"
"1","Recruits Per Spawner (R/S)",1.34397863595893,0.904701524386139,0.899458695120482,0.904636089027143,0.729689021559394
"2","Geomean Spawners (NOR)",729.103021334179,116.040543075584,112.135713146448,115.674704560428,31.2142648490236
"3","QET Threshold",1,1,1,1,1
"4","SAR",0.0460199682359522,0.0460199682359522,0.0460199682359522,0.0460199682359522,0.0460199682359522
"5","Marine Survival",0.0305,0.0305,0.0305,0.0305,0.0305
"6","DPS",0.9508297875138,0.686682928796769,0.684536274047115,0.686796108559598,0.938531337158014
"7","DPE",0.89698,0.539092807547266,0.538432095503025,0.539548501800756,0.291890388837335
"8","DPS*DPE",0.852841109573723,0.371095052771607,0.369132903622049,0.369660253350921,0.278953972118439
