"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.486316655012023,0.27927285355359,0.574261339140617,0,0.488637157511181,1.03627229487082
"2","Geomean Spawners (NOR)",11.4588383850014,23.5549555855475,2.05561460892745,0,2.52862662666407,76.6935292570697
"3","QET Threshold",1,0,0,1,1,1
"4","SAR",0.0388427236161898,0.00194349520683369,0.0500349879178821,0.0350269444947786,0.0388350535022549,0.0426561804021981
"5","First 5 Years Average Marine Survival",0.0252999505486919,0.011483904520672,0.453910156803279,0.0053535206917638,0.02471262068794,0.0491757068253425
"6","DPS",0.697923520406722,0.00497735909254816,0.00713166836625245,0.694026920788193,0.697450028503479,0.708841892013963
"7","DPE",0.387852070765549,0.000777389225992407,0.00200434465763708,0.387561342911754,0.387830476533153,0.388785463849507
"8","DPE*DPS",0.270691476395564,0.00205939393171721,0.00760790091782498,0.269244082283528,0.27047621000448,0.27554476561495
