"","DET","A1","A2a","A2b","A3a","A3b","A4","NAA"
"1","Recruits Per Spawner (R/S)",2.17957156045714,2.25713727200539,2.25714990173978,1.48374823281705,1.29681941788106,2.21157054802693,0.856080868910625
"2","Geomean Spawners (NOR)",1706.03891248374,1879.15392929622,1879.35668721434,436.134590420478,146.904349068655,1776.87703701937,20.3217579872303
"3","QET Threshold",1,1,1,1,1,1,1
"4","SAR",0.0448297966436431,0.0448297966436431,0.0448297966436431,0.0448297966436431,0.0448297966436431,0.0448297966436431,0.0448297966436431
"5","Marine Survival",0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305
"6","DPS",0.966161330935876,0.972447201590572,0.972447201590572,0.815478090753756,0.681481124493696,0.972447201673338,0.468726428360197
"7","DPE",0.906064136491229,0.938388694488194,0.938388694488194,0.655939467360297,0.705602259011067,0.912127353672597,0.594614784683759
"8","DPS*DPE",0.875409797121069,0.912255486520665,0.912255665487331,0.53265003815763,0.483348380652782,0.886681850781163,0.281975032264658
