"","GP","A1","A2a","A2b","A3a","A3b"
"1","Recruits Per Spawner (R/S)",1.37446346098014,0.88129495169695,0.873953801404972,0.880844893487107,0.644786063791699
"2","Geomean Spawners (NOR)",664.915565417286,83.9215950638464,79.837749947102,83.493729975148,12.0928551521589
"3","QET Threshold",0,0.7674,0.79239,0.77011,0.99969
"4","SAR",0.0450486620626156,0.0450486620626156,0.0450486620626156,0.0450486620626156,0.0450486620626156
"5","Marine Survival",0.0305,0.0305,0.0305,0.0305,0.0305
"6","DPS",0.9508297875138,0.686682928796769,0.684536274047115,0.686796108559598,0.938531337158014
"7","DPE",0.89698,0.539092807547266,0.538432095503025,0.539548501800756,0.291890388837335
"8","DPS*DPE",0.852841109573723,0.371095052771607,0.369132903622049,0.369660253350921,0.278953972118439
